intent,sub intent,data,slots
agricultural_machinery,planters,what is planter used for,O O B-machinery_type B-machinery_agricultural_process O
agricultural_machinery,rotator,what is the cost of a rotator,O O O B-machinery_price O O B-machinery_type
agricultural_machinery,tractors,how is a tractor used,O O O B-machinery_type B-machinery_agricultural_process
agricultural_machinery,chisel_plow,what is the cost of chisel plow,O O O B-machinery_price O O O
agricultural_machinery,liquid_manure,how much does liquid manure cost,O O O O O B-machinery_price
agricultural_machinery,liquid_manure,is liquid manure organic,O O O O
agricultural_machinery,harrow,what is harrow used for in agriculture,O O B-machinery_type B-machinery_agricultural_process O O O
agricultural_machinery,roller,what is a roller used for,O O O B-machinery_type B-machinery_agricultural_process O
agricultural_machinery,subsoiler,how is subsoiler different from other tools,O O B-machinery_type B-machinery_subtype O O B-machinery_type
agricultural_machinery,tractors,how much investment is needed for tractor,O O B-machinery_price O O O B-machinery_type
agricultural_machinery,harrow,how to decide the type of harrow using soil type,O O O O B-machinery_subtype O B-machinery_type O B-machinery_agricultural_process B-machinery_subtype
agricultural_machinery,liquid_manure,is liquid manure harmful for people,O O O B-machinery_general_info O O
agricultural_machinery,rotator,what is the maintenance of rotator,O O O B-machinery_maintenance_cost O B-machinery_type
agricultural_machinery,rotator,working of rotator,B-machinery_general_info O B-machinery_type
agricultural_machinery,rotator,repair cost of rotator,B-machinery_maintenance_cost B-machinery_price O B-machinery_type
agricultural_machinery,tractors,what is duration of use of tractor,O O B-machinery_shelf_life O B-machinery_agricultural_process O B-machinery_type
agricultural_machinery,seed_drill,what are the advantages of seed drill,O O O B-machinery_general_info O B-machinery_agricultural_process O
agricultural_machinery,tractors,are tractors dangerous,O B-machinery_type B-machinery_general_info
agricultural_machinery,produce_sorter,is produce sorter harmful,O O O B-machinery_general_info
agricultural_machinery,general,what is the difference between a spade and a shovel,O O O B-machinery_general_info O O B-machinery_type O O B-machinery_type
agricultural_machinery,cultivator,how is cultivator used,O O B-machinery_type B-machinery_agricultural_process
agricultural_machinery,manure_spreader,what is the cost of manure spreader,O O O B-machinery_price O O O
agricultural_machinery,rotator,how is rotator used in agriculture,O O B-machinery_type B-machinery_agricultural_process O O
agricultural_machinery,plough,is plough used for tilling,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,produce_sorter,is produce sorter cheap or expensive,O O O B-machinery_price O B-machinery_price
agricultural_machinery,rotator,what is the purpose of rotator in agriculture,O O O B-machinery_agricultural_process O B-machinery_type O O
agricultural_machinery,cultivator,what is the purpose of cultivator,O O O B-machinery_agricultural_process O B-machinery_type
agricultural_machinery,liquid_manure,what is expiry date of liquid manure,O O O O O O O
agricultural_machinery,rotator,what are the fuctions of rotator,O O O O O B-machinery_type
agricultural_machinery,chisel_plow,how chisel plow is used in agriculture,O O O O B-machinery_agricultural_process O O
agricultural_machinery,produce_sorter,what is the function of produce sorter,O O O B-machinery_agricultural_process O O O
agricultural_machinery,general,what are spades used for,O O B-machinery_type B-machinery_agricultural_process O
agricultural_machinery,seed_drill,is seed drill used for sowing seeds,O B-machinery_agricultural_process O B-machinery_agricultural_process O B-machinery_agricultural_process B-machinery_agricultural_process
agricultural_machinery,general,why are farm equipment tested and is it mandatory,O O O B-machinery_type B-machinery_shelf_life O O O O
agricultural_machinery,sprayers,what is the shelf life of a sprayer,O O O O B-machinery_shelf_life O O B-machinery_type
agricultural_machinery,produce_sorter,what are the advantages of produce sorter,O O O B-machinery_general_info O O O
agricultural_machinery,sprayers,is sprayer used to spray insecticides,O B-machinery_type B-machinery_agricultural_process O O O
agricultural_machinery,subsoiler,what is a subsoiler,O O O B-machinery_type
agricultural_machinery,subsoiler,where is subsoiler used,O O B-machinery_type B-machinery_agricultural_process
agricultural_machinery,liquid_manure,is liquid manure good for plants,O O O B-machinery_general_info O O
agricultural_machinery,roller,what is the use of water filled roller,O O O B-machinery_agricultural_process O O O B-machinery_type
agricultural_machinery,combine,is combine used for harvesting,O O B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,general,what is the need for shovels on a farm,O O O O O B-machinery_type O O O
agricultural_machinery,planters,what is the maintenance of planters,O O O B-machinery_maintenance_cost O B-machinery_type
agricultural_machinery,liquid_manure,how to prepare liquid manure,O O O O O
agricultural_machinery,produce_sorter,what precautions should be taken while using produce spreader,O B-machinery_general_info O O O O O O O
agricultural_machinery,chisel_plow,what is the maintenance of chisel plow,O O O B-machinery_maintenance_cost O O O
agricultural_machinery,sprayers,what is the cost of a fertilizer sprayer,O O O B-machinery_price O O O B-machinery_type
agricultural_machinery,harrow,how much price for maintaining harrow,O O B-machinery_price O B-machinery_maintenance_cost B-machinery_type
agricultural_machinery,plough,which type of plough is the best,O B-machinery_subtype O B-machinery_type O O B-machinery_general_info
agricultural_machinery,plough,what are the precautions that should be taken for plough,O O O B-machinery_general_info O O O O O B-machinery_type
agricultural_machinery,produce_sorter,what are the disadvantages of produce sorter,O O O B-machinery_general_info O O O
agricultural_machinery,produce_sorter,how is produce sorter used in agriculture,O O O O B-machinery_agricultural_process O O
agricultural_machinery,seed_drill,life of seed drill,B-machinery_shelf_life O B-machinery_agricultural_process O
agricultural_machinery,chisel_plow,what are the disadvantages of chisel plow,O O O B-machinery_general_info O O O
agricultural_machinery,combine,what are the advantages of combine,O O O B-machinery_general_info O O
agricultural_machinery,planters,is planter used in sowing seeds,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process B-machinery_agricultural_process
agricultural_machinery,combine,for what agricultural processes is combine used,O O O O O O B-machinery_agricultural_process
agricultural_machinery,subsoiler,how much does a subsoiler cost,O O O O B-machinery_type B-machinery_price
agricultural_machinery,liquid_manure,is liquid manure used during sowing,O O O B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,manure_spreader,does manure spreader work for all soil types,O O O B-machinery_general_info O O B-machinery_agricultural_process B-machinery_subtype
agricultural_machinery,subsoiler,what are the advantages of subsoiler,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,harrow,what are the types of harrow,O O O B-machinery_subtype O B-machinery_type
agricultural_machinery,liquid_manure,liquid manure examples,O O B-machinery_subtype
agricultural_machinery,general,which machine works best for harvesting,O B-machinery_type B-machinery_general_info B-machinery_general_info O B-machinery_agricultural_process
agricultural_machinery,combine,what is the price of repairing a combine,O O O B-machinery_price O B-machinery_maintenance_cost O O
agricultural_machinery,general,what is a sickle and what are its uses,O O O B-machinery_type O O O O B-machinery_agricultural_process
agricultural_machinery,tractors,is tractor dangerous,O B-machinery_type B-machinery_general_info
agricultural_machinery,roller,how is a roller used,O O O B-machinery_type B-machinery_agricultural_process
agricultural_machinery,planters,how much does a planter cost,O O O O B-machinery_type B-machinery_price
agricultural_machinery,tractors,what is the importance of tractor,O O O B-machinery_general_info O B-machinery_type
