intent,sub intent,data,slots
agricultural_machinery,rotator,which brand is the best for rotator,O B-machinery_general_info O O B-machinery_general_info O B-machinery_type
agricultural_machinery,rotator,what are the features of rotator,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,combine,what is a combine,O O O O
agricultural_machinery,produce_sorter,how much does a produce sorter cost,O O O O O O B-machinery_price
agricultural_machinery,subsoiler,is subsoiler very expensive,O B-machinery_type O B-machinery_price
agricultural_machinery,plough,how much investment for buying plough,O O B-machinery_price O B-machinery_price B-machinery_type
agricultural_machinery,subsoiler,maintenance cost of subsoiler,B-machinery_maintenance_cost B-machinery_price O B-machinery_type
agricultural_machinery,roller,is roller used for soil preparation,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process O
agricultural_machinery,planters,what is repair cost of planter,O O B-machinery_maintenance_cost B-machinery_price O B-machinery_type
agricultural_machinery,combine,how combine is used for agriculture,O O O B-machinery_agricultural_process O O
agricultural_machinery,chisel_plow,is chisel plow an expensive agricultural machine,O O O O B-machinery_price O B-machinery_type
agricultural_machinery,cultivator,cultivator is used to,B-machinery_type O B-machinery_agricultural_process O
agricultural_machinery,plough,what is a mouldboard plough,O O O B-machinery_subtype B-machinery_type
agricultural_machinery,planters,is planter required in seeding,O B-machinery_type O O B-machinery_agricultural_process
agricultural_machinery,general,which machinery are used for soil preparation,O B-machinery_type O B-machinery_agricultural_process O B-machinery_agricultural_process O
agricultural_machinery,seed_drill,is seed drill important for cultivation,O B-machinery_agricultural_process O B-machinery_general_info O B-machinery_agricultural_process
agricultural_machinery,rotator,what is life span of rotator,O O B-machinery_shelf_life B-machinery_shelf_life O B-machinery_type
agricultural_machinery,cultivator,do cultivators cost a lot,O B-machinery_type B-machinery_price O O
agricultural_machinery,sprayers,what is cost of repairing a sprayer,O O B-machinery_price O B-machinery_maintenance_cost O B-machinery_type
agricultural_machinery,rotator,what are the disadvantages of rotator,O O O B-machinery_general_info O B-machinery_type
agricultural_machinery,manure_spreader,which brand sells best manure spreader,O B-machinery_general_info O B-machinery_general_info O O
agricultural_machinery,harrow,does harrow need lubrication for maintenence,O B-machinery_type O B-machinery_maintenance_cost O O
agricultural_machinery,subsoiler,best subsoiler brand,B-machinery_general_info B-machinery_type B-machinery_general_info
agricultural_machinery,planters,what are the functions of planters,O O O B-machinery_agricultural_process O B-machinery_type
agricultural_machinery,seed_drill,how to maintain seed drill,O O B-machinery_maintenance_cost B-machinery_agricultural_process O
agricultural_machinery,harrow,what is the cost of repairing harrow,O O O B-machinery_price O B-machinery_maintenance_cost B-machinery_type
agricultural_machinery,seed_drill,what are the parts of seed drill,O O O O O B-machinery_agricultural_process O
agricultural_machinery,produce_sorter,working of a produce sorter,B-machinery_general_info O O O O
agricultural_machinery,seed_drill,how does a seed drill work,O O O B-machinery_agricultural_process O B-machinery_general_info
agricultural_machinery,cultivator,what is the cultivator used for,O O O B-machinery_type B-machinery_agricultural_process O
agricultural_machinery,rotator,what is rotator,O O B-machinery_type
agricultural_machinery,subsoiler,is subsoiler used for sowing seeds,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process B-machinery_agricultural_process
agricultural_machinery,tractors,is tractor used for sowing of seeds,O B-machinery_type B-machinery_agricultural_process O B-machinery_agricultural_process O B-machinery_agricultural_process
agricultural_machinery,plough,what is the purpose of plough,O O O B-machinery_agricultural_process O B-machinery_type
agricultural_machinery,roller,how to increase life span of roller,O O O B-machinery_shelf_life B-machinery_shelf_life O B-machinery_type
agricultural_machinery,general,what are post-harvest tools and implements,O O B-machinery_agricultural_process B-machinery_type O B-machinery_type
agricultural_machinery,tractors,how can i operate my tractor safely,O O O O O B-machinery_type B-machinery_general_info
agricultural_machinery,plough,which brand sells best plough,O B-machinery_general_info O B-machinery_general_info B-machinery_type
agricultural_machinery,seed_drill,what are the disadvantages of seed drill,O O O B-machinery_general_info O B-machinery_agricultural_process O
agricultural_machinery,subsoiler,what precaution should be taken while using subsoiler,O B-machinery_general_info O O O O O B-machinery_type
agricultural_processes,soil_preparation,do we plough land as part of soil preparation,O O B-agricultural_process_sub_type B-land_area O O O B-land_soil_type B-agricultural_process_type
agricultural_processes,harvest,does harvesting effect crop yield,O B-agricultural_process_type B-agricultural_process_disadv O B_agricultural_process_output
agricultural_processes,harvest,can we increase crop yield using harvesting,O O O O B_agricultural_process_output O B-agricultural_process_type
agricultural_processes,harvest,what is the lifespan of harvesting tools,O O O B-agriculture_process_duration O B-agricultural_process_type B-agricultural_process_sub_type
agricultural_processes,soil_preparation,can clay soil be replaced by peat,O B-land_soil_type B-land_soil_type O O O B-land_soil_type
agricultural_processes,storage,what are the advantages of silo storage,O O O B-agricultural_process_adv O B-agricultural_process_sub_type B-agricultural_process_type
agricultural_processes,storage,how expensive is silo storage,O B-land_cost O B-agricultural_process_sub_type B-agricultural_process_type
agricultural_processes,soil_preparation,is soil preparation expensive,O B-land_soil_type B-agricultural_process_type B-land_cost
agricultural_processes,sowing,how expensive is transplant sowing,O B-land_cost O B-agricultural_process_sub_type B-agricultural_process_type
